age_group,Annual_EIR,pmc_mode,pmc_coverage,rtss_coverage,cm_coverage,pmc_rtss_cov,name,mean_val,median_val,low_val,up_val,min_val,max_val,pmc_mode_fct,yint,yint_min
0-1,32,"RTS,S",0,0.8,0.6,0-0.8,Clinical malaria in children U2 (0-2 years),356.816111111111,357.5,332.951666666666,379.108333333333,323.233333333333,388.1,"RTS,S",1500,-50
0-1,32,"RTS,S",0,0.8,0.6,0-0.8,Severe malaria in children U2 (0-2 years),5.24777777777778,5.25,4.05833333333333,6.26833333333334,3.7,7.3,"RTS,S",25,-5
0-1,32,3tp,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),515.273888888889,513.4,478.381666666667,550.785,467.9,570.3,PMC-3,1500,-50
0-1,32,3tp,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),6.29333333333333,6.48333333333333,4.2,8.20166666666667,3.93333333333333,8.53333333333334,PMC-3,25,-5
0-1,32,4tp2ndyr,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),516.075,514.783333333334,484.115,552.701666666667,471.366666666667,559.666666666667,PMC-4,1500,-50
0-1,32,4tp2ndyr,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),6.44777777777778,6.56666666666667,4.49666666666667,8.205,3.76666666666667,8.76666666666667,PMC-4,25,-5
0-1,32,5tp2ndyr,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),516.88,516.883333333333,480.796666666667,547.706666666667,475.433333333333,552.7,PMC-5,1500,-50
0-1,32,5tp2ndyr,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),6.27111111111111,6.38333333333333,3.95166666666667,7.905,3.4,8.23333333333333,PMC-5,25,-5
0-1,32,6tp2ndyr,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),702.615,702.983333333333,674.555,726.566666666667,659.633333333333,739.6,PMC-6,1500,-50
0-1,32,6tp2ndyr,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),9.80611111111111,9.76666666666667,7.86166666666667,11.835,6.8,12.0333333333333,PMC-6,25,-5
0-1,32,7tp2ndyr,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),702.425,700.433333333334,678.045,728.95,663.266666666666,739.933333333333,PMC-7,1500,-50
0-1,32,7tp2ndyr,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),9.70166666666667,9.86666666666667,7.565,11.0666666666667,6.83333333333333,12.1,PMC-7,25,-5
1-2,32,"RTS,S",0,0.8,0.6,0-0.8,Clinical malaria in children U2 (0-2 years),1194.15611111111,1193.53333333333,1177.11666666667,1211.08,1162.83333333333,1217.2,"RTS,S",1500,-50
1-2,32,"RTS,S",0,0.8,0.6,0-0.8,Severe malaria in children U2 (0-2 years),17.6216666666667,17.4666666666667,16.2333333333333,19.6366666666667,16,20,"RTS,S",25,-5
1-2,32,3tp,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),-12.8344444444444,-12.9000000000001,-26.0233333333334,3.6266666666666,-38.8666666666668,9.86666666666679,PMC-3,1500,-50
1-2,32,3tp,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),-1.87166666666667,-2.05,-3.66833333333334,0.551666666666671,-4.83333333333334,1.3,PMC-3,25,-5
1-2,32,4tp2ndyr,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),196.035555555556,196.616666666666,178.726666666667,214.185,166.533333333334,228.333333333334,PMC-4,1500,-50
1-2,32,4tp2ndyr,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),1.9,1.93333333333333,-0.554999999999998,4.02,-1.16666666666667,5.06666666666667,PMC-4,25,-5
1-2,32,5tp2ndyr,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),410.717777777778,411.966666666666,382.623333333333,435.338333333334,376,441.833333333334,PMC-5,1500,-50
1-2,32,5tp2ndyr,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),5.29,5.25,3.56333333333334,7.30666666666666,2.83333333333334,9.23333333333333,PMC-5,25,-5
1-2,32,6tp2ndyr,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),408.803333333333,409.9,379.77,431.655,378.166666666667,434.266666666667,PMC-6,1500,-50
1-2,32,6tp2ndyr,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),4.84277777777778,4.63333333333334,2.36666666666667,7.23833333333333,1.4,7.5,PMC-6,25,-5
1-2,32,7tp2ndyr,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),631.820555555556,630.166666666667,613.846666666667,655.59,601.033333333333,663.966666666667,PMC-7,1500,-50
1-2,32,7tp2ndyr,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),8.22277777777778,8.05,6.125,10.1766666666667,5.16666666666667,11.5666666666667,PMC-7,25,-5
0-2,32,"RTS,S",0,0.8,0.6,0-0.8,Clinical malaria in children U2 (0-2 years),775.486111111111,774.491666666667,761.1975,789.009166666666,759.8,791.816666666667,"RTS,S",1500,-50
0-2,32,"RTS,S",0,0.8,0.6,0-0.8,Severe malaria in children U2 (0-2 years),11.4347222222222,11.475,10.3825,12.3875,10.2,12.8,"RTS,S",25,-5
0-2,32,3tp,0.8,0,0.6,0.8-0,Clinical malaria in children U2 (0-2 years),251.219722222222,250.65,230.193333333334,272.896666666667,219.866666666667,279.216666666667,PMC-3,1500,-50
0-2,32,3tp,0.8,0,0.6,0.8-0,Severe malaria in children U2 (0-2 years),2.21083333333333,2.11666666666667,1.0825,3.77083333333333,-0.333333333333332,3.9,PMC-3,25,-5
