setting_id,annual_EIR,cm_coverage,seasonality,rtss_target_group,cm_target_group,pmc_target_group,rtss_mode,rtss_coverage,pmc_coverage,pmc_mode,rtss_booster1_min_age,frac_high_access,demographics_filename,CM_filename,RTSS_filename,PMC_filename
HX0,1,0.6,season1,random,random,random,constant,0.0,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX1,1,0.6,season1,random,random,random,constant,0.8,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_0coverage.csv
HX2,1,0.6,season1,random,random,random,constant,0.0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX3,1,0.6,season1,random,random,random,constant,0.0,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp_80coverage.csv
HX4,1,0.6,season1,random,random,random,constant,0.0,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX5,1,0.6,season1,random,random,random,constant,0.8,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_80coverage.csv
HX6,1,0.6,season1,random,random,random,constant,0.8,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_5tp_80coverage.csv
HX7,1,0.6,season1,random,random,random,constant,0.8,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX8,4,0.6,season1,random,random,random,constant,0.0,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX9,4,0.6,season1,random,random,random,constant,0.8,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_0coverage.csv
HX10,4,0.6,season1,random,random,random,constant,0.0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX11,4,0.6,season1,random,random,random,constant,0.0,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp_80coverage.csv
HX12,4,0.6,season1,random,random,random,constant,0.0,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX13,4,0.6,season1,random,random,random,constant,0.8,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_80coverage.csv
HX14,4,0.6,season1,random,random,random,constant,0.8,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_5tp_80coverage.csv
HX15,4,0.6,season1,random,random,random,constant,0.8,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX16,8,0.6,season1,random,random,random,constant,0.0,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX17,8,0.6,season1,random,random,random,constant,0.8,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_0coverage.csv
HX18,8,0.6,season1,random,random,random,constant,0.0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX19,8,0.6,season1,random,random,random,constant,0.0,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp_80coverage.csv
HX20,8,0.6,season1,random,random,random,constant,0.0,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX21,8,0.6,season1,random,random,random,constant,0.8,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_80coverage.csv
HX22,8,0.6,season1,random,random,random,constant,0.8,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_5tp_80coverage.csv
HX23,8,0.6,season1,random,random,random,constant,0.8,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX24,16,0.6,season1,random,random,random,constant,0.0,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX25,16,0.6,season1,random,random,random,constant,0.8,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_0coverage.csv
HX26,16,0.6,season1,random,random,random,constant,0.0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX27,16,0.6,season1,random,random,random,constant,0.0,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp_80coverage.csv
HX28,16,0.6,season1,random,random,random,constant,0.0,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX29,16,0.6,season1,random,random,random,constant,0.8,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_80coverage.csv
HX30,16,0.6,season1,random,random,random,constant,0.8,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_5tp_80coverage.csv
HX31,16,0.6,season1,random,random,random,constant,0.8,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX32,32,0.6,season1,random,random,random,constant,0.0,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX33,32,0.6,season1,random,random,random,constant,0.8,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_0coverage.csv
HX34,32,0.6,season1,random,random,random,constant,0.0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX35,32,0.6,season1,random,random,random,constant,0.0,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp_80coverage.csv
HX36,32,0.6,season1,random,random,random,constant,0.0,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX37,32,0.6,season1,random,random,random,constant,0.8,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_80coverage.csv
HX38,32,0.6,season1,random,random,random,constant,0.8,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_5tp_80coverage.csv
HX39,32,0.6,season1,random,random,random,constant,0.8,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX40,64,0.6,season1,random,random,random,constant,0.0,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX41,64,0.6,season1,random,random,random,constant,0.8,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_0coverage.csv
HX42,64,0.6,season1,random,random,random,constant,0.0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX43,64,0.6,season1,random,random,random,constant,0.0,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp_80coverage.csv
HX44,64,0.6,season1,random,random,random,constant,0.0,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX45,64,0.6,season1,random,random,random,constant,0.8,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_80coverage.csv
HX46,64,0.6,season1,random,random,random,constant,0.8,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_5tp_80coverage.csv
HX47,64,0.6,season1,random,random,random,constant,0.8,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
HX48,128,0.6,season1,random,random,random,constant,0.0,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX49,128,0.6,season1,random,random,random,constant,0.8,0.0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_0coverage.csv
HX50,128,0.6,season1,random,random,random,constant,0.0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX51,128,0.6,season1,random,random,random,constant,0.0,0.8,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp_80coverage.csv
HX52,128,0.6,season1,random,random,random,constant,0.0,0.8,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_7tp2ndyr_80coverage.csv
