setting_id,annual_EIR,cm_coverage,seasonality,rtss_target_group,cm_target_group,pmc_target_group,rtss_mode,rtss_coverage,pmc_coverage,pmc_mode,rtss_booster1_min_age,frac_high_access,demographics_filename,CM_filename,RTSS_filename,PMC_filename
HX0,32,0.6,season1,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX1,32,0.6,season1,random,random,random,constant,0.8,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_0coverage.csv
HX2,32,0.6,season1,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX3,32,0.6,season1,random,random,random,constant,0,0.2,4tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_4tp_20coverage.csv
HX4,32,0.6,season1,random,random,random,constant,0,0.2,4tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_4tp2ndyr_20coverage.csv
HX5,32,0.6,season1,random,random,random,constant,0,0.2,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp_20coverage.csv
HX6,32,0.6,season1,random,random,random,constant,0,0.2,5tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_5tp2ndyr_20coverage.csv
HX7,32,0.6,season1,random,random,random,constant,0,0.2,6tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_6tp2ndyr_20coverage.csv
HX8,32,0.6,season1,random,random,random,constant,0,0.2,7tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_7tp2ndyr_20coverage.csv
HX9,32,0.6,season1,random,random,random,constant,0.8,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_3tp_20coverage.csv
HX10,32,0.6,season1,random,random,random,constant,0.8,0.2,4tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_4tp_20coverage.csv
HX11,32,0.6,season1,random,random,random,constant,0.8,0.2,4tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_4tp2ndyr_20coverage.csv
HX12,32,0.6,season1,random,random,random,constant,0.8,0.2,5tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_5tp_20coverage.csv
HX13,32,0.6,season1,random,random,random,constant,0.8,0.2,5tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_5tp2ndyr_20coverage.csv
HX14,32,0.6,season1,random,random,random,constant,0.8,0.2,6tp2ndyr,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_80coverage.csv,PMC/PMC_6tp2ndyr_20coverage.csv
